news_id,headline,body_text,source,label
169,New curriculum introduced in schools,"Many are calling it a conspiracy. However, experts say it's quite natural.",Daily Star,Fake
170,Bangladesh wins the World Cup,The Prime Minister attended the inauguration ceremony as the chief guest.,Unknown News,Fake
171,New curriculum introduced in schools,Residents claim they have never witnessed such an event before.,Daily Star,Real
172,"Earthquake hits Chittagong, panic spreads",The news went viral on social media after noon.,CNN,Real
173,Breakthrough in Bangladesh's tech industry,Local administration has visited the spot for further inspection.,BBC,Real
174,Breakthrough in Bangladesh's tech industry,The news went viral on social media after noon.,CNN,Fake
175,Government announces major job reforms,Experts believe this is a significant technological advancement.,Unknown News,Real
176,Breakthrough in Bangladesh's tech industry,Local administration has visited the spot for further inspection.,BBC,Fake
177,New virus outbreak sparks fear,The news went viral on social media after noon.,CNN,Real
178,New curriculum introduced in schools,The news went viral on social media after noon.,Reuters,Real
179,Global economy faces recession,"Many are calling it a conspiracy. However, experts say it's quite natural.",Unknown News,Real
180,New curriculum introduced in schools,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Daily Star,Real
181,Breakthrough in Bangladesh's tech industry,Uncertainty remains about the authenticity of the incident.,BBC,Real
182,Bangladesh wins the World Cup,Residents claim they have never witnessed such an event before.,BBC,Real
183,Breakthrough in Bangladesh's tech industry,Residents claim they have never witnessed such an event before.,Reuters,Real
184,New metro rail launched in Dhaka,"Many are calling it a conspiracy. However, experts say it's quite natural.",Daily Star,Real
185,Government announces major job reforms,Uncertainty remains about the authenticity of the incident.,Reuters,Fake
186,Breakthrough in Bangladesh's tech industry,Uncertainty remains about the authenticity of the incident.,BBC,Fake
187,New curriculum introduced in schools,The news went viral on social media after noon.,Unknown News,Fake
188,New curriculum introduced in schools,"Many are calling it a conspiracy. However, experts say it's quite natural.",Daily Star,Real
189,Bangladesh wins the World Cup,The news went viral on social media after noon.,Reuters,Real
190,Bangladeshi astronaut captures photo from the moon,Experts believe this is a significant technological advancement.,Unknown News,Real
191,"Earthquake hits Chittagong, panic spreads",Government sources state that an official announcement will be made soon.,Reuters,Real
192,New metro rail launched in Dhaka,Local administration has visited the spot for further inspection.,Reuters,Real
193,New virus outbreak sparks fear,Local administration has visited the spot for further inspection.,Unknown News,Real
194,Bangladeshi astronaut captures photo from the moon,Doctors advise that basic precautions can help avoid danger.,Daily Star,Fake
195,New curriculum introduced in schools,Government sources state that an official announcement will be made soon.,BBC,Fake
196,Government announces major job reforms,Uncertainty remains about the authenticity of the incident.,Unknown News,Fake
197,Global economy faces recession,"Many are calling it a conspiracy. However, experts say it's quite natural.",CNN,Fake
198,Bangladeshi astronaut captures photo from the moon,Uncertainty remains about the authenticity of the incident.,Unknown News,Fake
199,"Earthquake hits Chittagong, panic spreads",Uncertainty remains about the authenticity of the incident.,Daily Star,Fake
200,Global economy faces recession,Residents claim they have never witnessed such an event before.,Daily Star,Real
201,Bangladeshi astronaut captures photo from the moon,Local administration has visited the spot for further inspection.,BBC,Real
202,New metro rail launched in Dhaka,Incidents were reported from various parts of the city this morning. Authorities are investigating.,CNN,Fake
203,Bangladesh wins the World Cup,Experts believe this is a significant technological advancement.,CNN,Real
204,Dengue situation worsens in the country,The news went viral on social media after noon.,BBC,Real
205,Bangladesh wins the World Cup,Residents claim they have never witnessed such an event before.,BBC,Real
206,Bangladeshi astronaut captures photo from the moon,Uncertainty remains about the authenticity of the incident.,Daily Star,Fake
207,Breakthrough in Bangladesh's tech industry,Government sources state that an official announcement will be made soon.,Daily Star,Real
208,New metro rail launched in Dhaka,Doctors advise that basic precautions can help avoid danger.,BBC,Fake
209,New curriculum introduced in schools,Residents claim they have never witnessed such an event before.,BBC,Real
210,Breakthrough in Bangladesh's tech industry,Incidents were reported from various parts of the city this morning. Authorities are investigating.,CNN,Real
211,Global economy faces recession,The Prime Minister attended the inauguration ceremony as the chief guest.,Daily Star,Real
212,"Earthquake hits Chittagong, panic spreads",Uncertainty remains about the authenticity of the incident.,Daily Star,Fake
213,New virus outbreak sparks fear,Government sources state that an official announcement will be made soon.,Daily Star,Fake
214,New virus outbreak sparks fear,Experts believe this is a significant technological advancement.,Unknown News,Fake
215,Breakthrough in Bangladesh's tech industry,Experts believe this is a significant technological advancement.,Daily Star,Real
216,Bangladeshi astronaut captures photo from the moon,Doctors advise that basic precautions can help avoid danger.,Reuters,Real
217,Bangladeshi astronaut captures photo from the moon,Experts believe this is a significant technological advancement.,BBC,Fake
218,Bangladeshi astronaut captures photo from the moon,Experts believe this is a significant technological advancement.,Reuters,Fake
219,Global economy faces recession,"Many are calling it a conspiracy. However, experts say it's quite natural.",Reuters,Fake
220,New virus outbreak sparks fear,Experts believe this is a significant technological advancement.,Unknown News,Fake
221,New metro rail launched in Dhaka,"Many are calling it a conspiracy. However, experts say it's quite natural.",CNN,Fake
222,New metro rail launched in Dhaka,"Many are calling it a conspiracy. However, experts say it's quite natural.",Daily Star,Fake
223,Global economy faces recession,Doctors advise that basic precautions can help avoid danger.,CNN,Fake
224,Government announces major job reforms,"Many are calling it a conspiracy. However, experts say it's quite natural.",CNN,Real
225,New curriculum introduced in schools,Residents claim they have never witnessed such an event before.,Unknown News,Real
226,Bangladesh wins the World Cup,The news went viral on social media after noon.,BBC,Real
227,Bangladesh wins the World Cup,The news went viral on social media after noon.,BBC,Real
228,Breakthrough in Bangladesh's tech industry,Residents claim they have never witnessed such an event before.,Reuters,Real
229,Bangladeshi astronaut captures photo from the moon,"Many are calling it a conspiracy. However, experts say it's quite natural.",Unknown News,Fake
230,New metro rail launched in Dhaka,Uncertainty remains about the authenticity of the incident.,Reuters,Fake
231,Government announces major job reforms,Experts believe this is a significant technological advancement.,Unknown News,Real
232,Bangladeshi astronaut captures photo from the moon,Experts believe this is a significant technological advancement.,CNN,Fake
233,Government announces major job reforms,The Prime Minister attended the inauguration ceremony as the chief guest.,Reuters,Real
234,New curriculum introduced in schools,The news went viral on social media after noon.,CNN,Real
235,New metro rail launched in Dhaka,Doctors advise that basic precautions can help avoid danger.,Unknown News,Real
236,Global economy faces recession,Experts believe this is a significant technological advancement.,BBC,Real
237,Bangladeshi astronaut captures photo from the moon,Local administration has visited the spot for further inspection.,CNN,Real
238,Dengue situation worsens in the country,Local administration has visited the spot for further inspection.,Unknown News,Fake
239,Global economy faces recession,Uncertainty remains about the authenticity of the incident.,Unknown News,Fake
240,Bangladeshi astronaut captures photo from the moon,Uncertainty remains about the authenticity of the incident.,Reuters,Real
241,New virus outbreak sparks fear,Experts believe this is a significant technological advancement.,Daily Star,Fake
242,New virus outbreak sparks fear,Government sources state that an official announcement will be made soon.,Daily Star,Fake
243,Government announces major job reforms,Local administration has visited the spot for further inspection.,Reuters,Fake
244,Bangladesh wins the World Cup,Residents claim they have never witnessed such an event before.,Reuters,Fake
245,"Earthquake hits Chittagong, panic spreads",Incidents were reported from various parts of the city this morning. Authorities are investigating.,CNN,Fake
246,Global economy faces recession,"Many are calling it a conspiracy. However, experts say it's quite natural.",Reuters,Real
247,New curriculum introduced in schools,The Prime Minister attended the inauguration ceremony as the chief guest.,CNN,Fake
248,Bangladeshi astronaut captures photo from the moon,Incidents were reported from various parts of the city this morning. Authorities are investigating.,CNN,Fake
249,Bangladesh wins the World Cup,Doctors advise that basic precautions can help avoid danger.,Unknown News,Real
250,New curriculum introduced in schools,Doctors advise that basic precautions can help avoid danger.,Daily Star,Real
251,New metro rail launched in Dhaka,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Unknown News,Fake
252,Breakthrough in Bangladesh's tech industry,Doctors advise that basic precautions can help avoid danger.,Unknown News,Fake
253,Government announces major job reforms,The Prime Minister attended the inauguration ceremony as the chief guest.,CNN,Fake
254,New curriculum introduced in schools,The Prime Minister attended the inauguration ceremony as the chief guest.,Unknown News,Real
255,New virus outbreak sparks fear,Doctors advise that basic precautions can help avoid danger.,Reuters,Fake
256,Dengue situation worsens in the country,Experts believe this is a significant technological advancement.,Daily Star,Real
257,Government announces major job reforms,"Many are calling it a conspiracy. However, experts say it's quite natural.",CNN,Fake
258,Government announces major job reforms,"Many are calling it a conspiracy. However, experts say it's quite natural.",BBC,Real
259,New metro rail launched in Dhaka,Experts believe this is a significant technological advancement.,BBC,Real
260,New metro rail launched in Dhaka,Experts believe this is a significant technological advancement.,CNN,Real
261,"Earthquake hits Chittagong, panic spreads",Doctors advise that basic precautions can help avoid danger.,Reuters,Real
262,Breakthrough in Bangladesh's tech industry,Uncertainty remains about the authenticity of the incident.,Unknown News,Real
263,Global economy faces recession,Uncertainty remains about the authenticity of the incident.,BBC,Real
264,Government announces major job reforms,Experts believe this is a significant technological advancement.,BBC,Real
265,Bangladesh wins the World Cup,Doctors advise that basic precautions can help avoid danger.,Daily Star,Real
266,Bangladeshi astronaut captures photo from the moon,The news went viral on social media after noon.,BBC,Fake
267,Bangladeshi astronaut captures photo from the moon,Residents claim they have never witnessed such an event before.,Reuters,Fake
268,Breakthrough in Bangladesh's tech industry,Residents claim they have never witnessed such an event before.,Daily Star,Fake
269,New metro rail launched in Dhaka,Government sources state that an official announcement will be made soon.,CNN,Real
270,Government announces major job reforms,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Reuters,Fake
271,Bangladesh wins the World Cup,Uncertainty remains about the authenticity of the incident.,BBC,Real
272,Breakthrough in Bangladesh's tech industry,Doctors advise that basic precautions can help avoid danger.,BBC,Fake
273,Government announces major job reforms,Doctors advise that basic precautions can help avoid danger.,Unknown News,Real
274,Bangladesh wins the World Cup,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Unknown News,Fake
275,New metro rail launched in Dhaka,Uncertainty remains about the authenticity of the incident.,BBC,Real
276,Bangladesh wins the World Cup,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Unknown News,Fake
277,New metro rail launched in Dhaka,Uncertainty remains about the authenticity of the incident.,Reuters,Fake
278,Dengue situation worsens in the country,The Prime Minister attended the inauguration ceremony as the chief guest.,Unknown News,Real
279,"Earthquake hits Chittagong, panic spreads","Many are calling it a conspiracy. However, experts say it's quite natural.",CNN,Fake
280,Bangladeshi astronaut captures photo from the moon,The Prime Minister attended the inauguration ceremony as the chief guest.,Reuters,Fake
281,Dengue situation worsens in the country,The Prime Minister attended the inauguration ceremony as the chief guest.,Unknown News,Real
282,New curriculum introduced in schools,Residents claim they have never witnessed such an event before.,CNN,Fake
283,Breakthrough in Bangladesh's tech industry,Experts believe this is a significant technological advancement.,Daily Star,Fake
284,Global economy faces recession,Uncertainty remains about the authenticity of the incident.,Daily Star,Fake
285,Bangladeshi astronaut captures photo from the moon,Uncertainty remains about the authenticity of the incident.,CNN,Fake
286,Bangladeshi astronaut captures photo from the moon,Experts believe this is a significant technological advancement.,CNN,Fake
287,"Earthquake hits Chittagong, panic spreads",Local administration has visited the spot for further inspection.,Reuters,Real
288,Bangladesh wins the World Cup,Local administration has visited the spot for further inspection.,BBC,Real
289,Bangladesh wins the World Cup,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Daily Star,Real
290,Bangladeshi astronaut captures photo from the moon,Doctors advise that basic precautions can help avoid danger.,Unknown News,Fake
291,Bangladeshi astronaut captures photo from the moon,Uncertainty remains about the authenticity of the incident.,Daily Star,Fake
292,New virus outbreak sparks fear,Uncertainty remains about the authenticity of the incident.,BBC,Real
293,Bangladesh wins the World Cup,Local administration has visited the spot for further inspection.,Unknown News,Real
294,Bangladesh wins the World Cup,Government sources state that an official announcement will be made soon.,BBC,Fake
295,"Earthquake hits Chittagong, panic spreads",Residents claim they have never witnessed such an event before.,Reuters,Fake
296,New metro rail launched in Dhaka,Government sources state that an official announcement will be made soon.,Reuters,Fake
297,New virus outbreak sparks fear,Local administration has visited the spot for further inspection.,CNN,Fake
298,Dengue situation worsens in the country,Uncertainty remains about the authenticity of the incident.,Reuters,Fake
299,Breakthrough in Bangladesh's tech industry,"Many are calling it a conspiracy. However, experts say it's quite natural.",Unknown News,Real
300,Global economy faces recession,The Prime Minister attended the inauguration ceremony as the chief guest.,Reuters,Fake
301,Dengue situation worsens in the country,Government sources state that an official announcement will be made soon.,BBC,Fake
302,Bangladeshi astronaut captures photo from the moon,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Reuters,Fake
303,Global economy faces recession,The Prime Minister attended the inauguration ceremony as the chief guest.,Reuters,Real
304,New metro rail launched in Dhaka,"Many are calling it a conspiracy. However, experts say it's quite natural.",Reuters,Real
305,Bangladesh wins the World Cup,Government sources state that an official announcement will be made soon.,Daily Star,Fake
306,Dengue situation worsens in the country,Local administration has visited the spot for further inspection.,Reuters,Real
307,"Earthquake hits Chittagong, panic spreads",The news went viral on social media after noon.,CNN,Real
308,Global economy faces recession,Doctors advise that basic precautions can help avoid danger.,Unknown News,Real
